#{"t_start": 1775311724.411631, "env_id": "None"}
r,l,t
21.12,4,34.963759
22.036667,7,34.9799
22.38,12,35.007246
40.736335,19,35.054117
30.433333,10,35.077766
16.325,12,35.105948
28.756,14,35.13849
37.601333,8,35.160394
33.257833,9,35.181041
41.700714,9,35.201852
33.590964,13,35.231364
41.45,4,35.240577
26.88,4,35.252414
24.18,7,35.268785
24.546667,9,35.28889
13.346667,4,35.298283
30.530857,18,35.337826
25.311579,11,35.370032
28.74,6,35.384797
24.364667,7,35.401188
50.114167,7,35.417898
34.735,12,35.446082
34.47,9,35.470623
46.611667,11,35.496413
22.36,9,35.518212
34.3,10,35.540829
15.784211,11,35.569137
41.633036,15,35.604246
6.642333,2,35.609748
-16.324632,2,35.614909
20.923333,5,35.626885
25.868,9,35.647927
53.956607,9,35.672043
13.681964,9,35.692465
22.0,13,35.721924
12.128,9,35.742783
9.338667,8,35.766102
31.27,5,35.778366
25.34,7,35.794194
39.335833,8,35.812087
31.535556,12,35.839833
21.3425,6,35.854106
24.407222,10,35.879708
48.763929,12,35.906934
35.9775,7,35.923426
20.103056,9,35.943899
34.06,6,35.957771
39.34,7,35.978086
14.64,4,35.987769
25.976667,11,36.012053
48.383036,13,36.04108
24.215,6,36.05662
21.49,9,36.080307
24.276667,4,36.090619
15.559286,16,36.126977
28.784315,6,36.14095
31.131429,8,36.159912
20.265,4,36.169208
5.296667,8,36.191003
7.182,10,36.214427
21.341579,15,36.249124
19.217167,8,36.267294
13.223333,8,36.288821
40.263036,15,36.323509
23.495556,8,36.342541
17.836667,5,36.354045
47.066964,7,36.369872
52.1925,11,36.3988
49.498214,10,36.428342
25.577679,15,36.462562
34.615263,13,36.495258
24.101429,14,37.275053
49.66625,8,37.295938
20.826667,12,37.327366
48.935833,6,37.342521
39.701607,17,37.38392
38.918333,6,37.399404
23.27,6,37.415974
39.410714,6,37.429808
28.396429,17,37.46859
14.83,3,37.475704
36.175556,7,37.492123
34.568947,9,37.518039
19.177333,4,37.527222
33.392333,7,37.543912
15.969107,11,37.569857
39.7025,5,37.58205
32.468667,11,37.607378
26.8975,13,37.638507
23.183167,13,37.668493
21.1,20,37.717013
35.55,15,37.753158
21.545,8,37.772171
17.801111,7,37.789279
-48.2425,6,37.803952
46.338714,8,37.824581
27.193,6,37.837828
34.231071,17,37.87738
9.071333,3,37.884686
