time/fps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_reward,eval/mean_ep_length
524,29,976,-3.9026161100000003,18.58,15501,0.26370250000000006,0.0005,3750,2.9596476554870605,,
524,29,980,-4.63361053,18.55,15577,0.2600925000000003,0.0005,3769,2.918120861053467,,
524,29,984,-4.502273400000002,18.68,15656,0.2563399999999999,0.0005,3788,1.9532972574234009,,
524,30,988,-5.897348820000001,18.82,15733,0.25268250000000014,0.0005,3808,2.4998462200164795,,
524,30,992,-4.915670629999999,18.82,15813,0.24888250000000012,0.0005,3828,2.636202335357666,,
524,30,996,-5.06767992,18.93,15893,0.24508249999999998,0.0005,3848,3.8299176692962646,,
524,30,1000,-5.292828679999999,19.12,15973,0.24128249999999984,0.0005,3868,2.8331727981567383,,
524,30,1004,-6.289881889999999,19.07,16046,0.2378150000000001,0.0005,3886,2.3090341091156006,,
524,30,1008,-6.59375268,18.89,16102,0.23515500000000011,0.0005,3900,1.872207760810852,,
523,30,1012,-6.651762789999999,18.86,16179,0.23149750000000013,0.0005,3919,1.7865620851516724,,
523,31,1016,-5.982806479999999,18.98,16242,0.22850500000000007,0.0005,3935,2.666788101196289,,
523,31,1020,-4.822499619999999,18.79,16303,0.22560750000000007,0.0005,3950,2.969902992248535,,
523,31,1024,-4.7115807,18.79,16383,0.22180749999999994,0.0005,3970,1.8527703285217285,,
523,31,1028,-4.8366674,18.79,16463,0.21800750000000002,0.0005,3990,2.772045850753784,,
523,31,1032,-4.978039749999999,18.62,16526,0.21501500000000018,0.0005,4006,2.287250280380249,,
523,31,1036,-5.8455724899999995,18.62,16606,0.21121500000000015,0.0005,4026,3.276611566543579,,
523,31,1040,-6.02875439,18.3,16654,0.20893499999999998,0.0005,4038,1.7598934173583984,,
523,31,1044,-5.41072439,18.3,16734,0.20513500000000018,0.0005,4058,2.9674746990203857,,
523,32,1048,-4.885384599999999,18.04,16788,0.20256999999999992,0.0005,4071,3.837977647781372,,
523,32,1052,-5.252762710000001,18.29,16868,0.19877,0.0005,4091,2.623255491256714,,
522,32,1056,-4.85142687,18.08,16927,0.19596749999999996,0.0005,4106,2.4041695594787598,,
522,32,1060,-4.31063944,18.19,17007,0.19216750000000005,0.0005,4126,3.1752939224243164,,
522,32,1064,-4.35508889,18.19,17087,0.18836750000000024,0.0005,4146,3.2902679443359375,,
522,32,1068,-5.033913180000001,18.19,17167,0.1845675000000001,0.0005,4166,2.4370861053466797,,
522,33,1072,-4.94700494,18.22,17247,0.18076749999999997,0.0005,4186,3.8944101333618164,,
521,33,1076,-4.0722056,18.26,17327,0.17696749999999994,0.0005,4206,2.4287357330322266,,
521,33,1080,-3.13415345,18.3,17407,0.17316750000000003,0.0005,4226,3.7985944747924805,,
521,33,1084,-3.4072108400000003,18.31,17487,0.16936750000000023,0.0005,4246,4.046128749847412,,
521,33,1088,-3.1891203599999995,18.34,17567,0.1655675000000001,0.0005,4266,4.692142486572266,,
521,33,1092,-2.4349108099999994,18.2,17633,0.1624325000000001,0.0005,4283,2.3976588249206543,,
521,33,1096,-2.8820314,18.2,17713,0.15863250000000007,0.0005,4303,1.8627381324768066,,
520,34,1100,-2.8099413299999996,18.2,17793,0.15483249999999993,0.0005,4323,2.4163432121276855,,
520,34,1104,-2.8983347800000003,18.27,17873,0.15103250000000012,0.0005,4343,3.0276951789855957,,
520,34,1108,-2.6780243299999995,18.33,17935,0.14808750000000004,0.0005,4358,4.416408538818359,,
520,34,1112,-3.34165469,18.36,18015,0.1442874999999999,0.0005,4378,2.8147048950195312,,
520,34,1116,-3.0667234899999998,18.47,18089,0.14077250000000008,0.0005,4397,2.7268881797790527,,
